table_id,page,row_index,Frame,[Ie] Rated operational current (Ue ≤ 440 V),col_2,"Motor Power at 415V, 3Ph, 50Hz",col_4,Auxiliary Contacts,col_6,Reference,Unit MRP [`],col_9,col_10,col_11,col_1,col_5,Breaking Capacity at 50 Hz,Thermal Protection Adjustment Range (A),Magnetic Protection (A),No of Poles,AC Control Reference,col_3,DC Control Reference (4),Unit MRP [`]__1,col_8,DC low consumption Reference (1) (2) (3),Motor Power kW) at 380/415V,DC Control Reference(5),Nominal Reactive Power 440V,AC-1 Rated Operational Current [Ie],AC-3 Duty,col_7,Motor Power (Long Life) AC3,[Ie] Rated Operational Current AC1,Poles Composotion,AC control Reference,Unit MRP [`] M7 (220V),DC control Reference,AC3 Duty (Long Life),[Ie] Rated Operational Current AC-1,AC & DC Control Reference,Description,For use with,Motor Power (Long Life) AC-3 kW (@415V) A,Standard version Reference,Power Pole Composition,Pole Composition,Control modules for Standard contactors,Breaking Capacity at 50Hz,Magnetic Protection Rating (A),Thermal Protection Adjustment Range,Breaking Capacity at 415V 50Hz,Motor Power AC-3**,KW,Max. Continuous Current (A),kW,Max. continuous current(A),Nominal Power in kW,Nominal Current (Amps),Range,Voltage,Output,Dimension wxhxd (mm),Cable Gland type ISO standard,Number of Cut outs,Number of rows,[In] Rated Current (A),1 Pole Reference,2 Pole Reference,3 Pole Reference,Unit MRP [`]__2,4 Pole Reference,Unit MRP [`]__3,Module Width 18mm/ module,Module Width 18mm/ module__1,Earth-Leakage Sensitivity (mA),Module Width 18mm/module,Module Width 18mm/module__1,Type,[Ue] Rated Operational Voltage (V),Poles Description,IP Rating,Module Width,No. of Gangs
p086_t01,86,0,Frame,AC-1,AC-3,HP,kW,NO,NC,,M7 (220V),N5 (415V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p086_t02,86,0,Frame,AC-1,AC-3,HP,kW,NO,NC,,M7 (220V),N5 (415),M5 (220V),N7 (415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p087_t01,87,0,Frame,AC-1,AC-3,HP,kW,NO,NC,,BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p088_t01,88,0,,,,,F5,NO,N5,,B5,,,,NC,M5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p091_t01,91,0,,,,,,,,,,,,,500 V,,690 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p091_t02,91,0,,,,,,,,,,,,,500 V,,690 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p096_t01,96,0,,,,,M7 (220V),,,,B7 (24V),MD (220V),,,,N7 (415V),,,,No of Poles,,F7 (110V),,BD (24V),FD (110V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p096_t02,96,0,,,,,SW3 (72V),,,,BW3 (24V),,,,,,,,,No of Poles,,EW3 (48V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p096_t03,96,0,,,,,F7 (110V),,N7 (415V),,B7 (24V),FD (110V),MD (220V),,,M7 (220V),,,,,,,,BD (24V),,,Motor Power kW) at 380/415V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p096_t04,96,0,,,,,M7 (220V),,,,F7 (110V),,,,,,,,,,,,,,,,Motor Power kW) at 380/415V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p098_t01,98,0,,,,,F7 (110V),,,,M7 (220V),,,,,,,,,,,,,,,,,,Nominal Reactive Power 440V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p099_t01,99,0,,,,,M7 (220V),,,,B7 (24V),MD (220V),,,,N7 (415V),,,,No of Poles,,F7 (110V),,BD (24V),FD (110V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p099_t02,99,0,,,,,ML (220V),,,,BL (24V),,,,,,,,,No of Poles,,FL (110V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p099_t03,99,0,,,HP,,,,,,M7 (220V),,,,,,,,,,,A,,,F7 (110V),,,,,AC-1 Rated Operational Current [Ie],kW,N7 (415V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p100_t01,100,0,,,HP,,,,,,BL (24V),,,,,,,,,,,A,,,,,,,,AC-1 Rated Operational Current [Ie],,,kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p100_t02,100,0,,,,,,,FD (110V),,BD (24V),,,,,,,,,,,,,,,,,,,,,MD (220V),,[Ie] Rated Operational Current AC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p107_t01,107,0,,,HP,,,,,,BBE (24V DC),KUE (100-250V AC/DC),LSE (200-500V AC/DC),,,,,,,,,A,,,EHE (48-130V AC/DC),,,,,AC-1 Rated Operational Current [Ie],,BNE (24-60V AC/DC),,,,,,,kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p107_t02,107,0,,,,,,,EHE (48-130V AC/DC),,BBE (24V DC),,,,,BNE (24-60V AC/DC),,,,,,,,,LSE (200-500V AC/DC),,,,,,,KUE (100-250V AC/DC),,,,,,,,[Ie] Rated Operational Current AC-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p110_t02,110,0,,,,,E (42/48V) (AC/DC),,M (220/240V) (AC/DC),,B (24V) (AC/DC),,,,,F (110/127V) (AC/DC),,,,,,,,,,,,,,,,,,,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p117_t02,117,0,,,,,KUEN (100-250 V),,,,EHEN (48-130 V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Ie] Rated Operational Current AC-1,,,,kW (@415V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p117_t03,117,0,,,,,KUEN (100-250 V),,,,EHEN (48-130 V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Ie] Rated Operational Current AC-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p119_t03,119,0,,,,,KUEN (100-250V),,,,EHEN (48-130V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pole Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p127_t01,127,0,,,,,,,,,,,,,500V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p127_t02,127,0,,,,,,,,,,,,,500V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p127_t03,127,0,,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breaking Capacity at 415V 50Hz,kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p148_t02,148,0,,,,,,,,,,,,,HD,,,,,,,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p151_t01,151,0,,,,,,,,,,,,,HD,,,,,,,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,
p154_t02,154,0,,,440 Vac,,,,,,,,,,400 Vac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230 Vac,,,,,,,,,,,,,,,,,,,,,,,,,,
p171_t01,171,0,,,,,,,,RM10TG00N,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Description,,,,,,,,,,,,,,,,,,-,208…480Vac,"1CO, 5A",,,,,,,,,,,,,,,,,,,,,,
p171_t02,171,0,,,,,,,,RE10RAMUN,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Description,,,,,,,,,,,,,,,,,,0…30hrs,240VAC or 24VAC/DC,"1CO, 5A",,,,,,,,,,,,,,,,,,,,,,
p191_t01,191,0,,,,,,,,,,,,,,Horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,Vertical,,,,,,,,,,,,,,,,,,
p210_t01,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Module Width**,1 mod,2 mod,3 mod,,4 mod,,,,,,,,,,,,
p210_t01,210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOQ,12 Nos.,6 Nos.,4 Nos.,,3 Nos.,,,,,,,,,,,,
