page,table_id,row_index,catalog_no,price,price_raw,catalog_col,price_col,pole_hint
16,p016_text,7,LV510300FT,9810,9810,,,
16,p016_text,7,LV510310FT,13630,13630,,,
16,p016_text,8,LV510301FT,9810,9810,,,
16,p016_text,8,LV510311FT,13630,13630,,,
16,p016_text,9,LV510302FT,9810,9810,,,
16,p016_text,9,LV510312FT,13630,13630,,,
16,p016_text,10,LV510303FT,9810,9810,,,
16,p016_text,10,LV510313FT,13630,13630,,,
16,p016_text,11,LV510304FT,9810,9810,,,
16,p016_text,11,LV510314FT,13630,13630,,,
16,p016_text,12,LV510305FT,9810,9810,,,
16,p016_text,12,LV510315FT,13630,13630,,,
16,p016_text,13,LV510306FT,9810,9810,,,
16,p016_text,13,LV510316FT,13630,13630,,,
16,p016_text,14,LV510307FT,9860,9860,,,
16,p016_text,14,LV510317FT,13630,13630,,,
16,p016_text,15,LV516302FT,14420,14420,,,
16,p016_text,15,LV516312FT,17660,17660,,,
16,p016_text,16,LV516303FT,18820,18820,,,
16,p016_text,16,LV516313FT,22570,22570,,,
16,p016_text,17,LV525302FT,24920,24920,,,
16,p016_text,17,LV525312FT,31150,31150,,,
16,p016_text,20,LV525303FT,29160,29160,,,
16,p016_text,20,LV525313FT,35680,35680,,,
16,p016_text,24,LV510330FT,13410,13410,,,
16,p016_text,24,LV510340FT,16750,16750,,,
16,p016_text,25,LV510331FT,13410,13410,,,
16,p016_text,25,LV510341FT,16750,16750,,,
16,p016_text,26,LV510332FT,13410,13410,,,
16,p016_text,26,LV510342FT,16750,16750,,,
16,p016_text,27,LV510333FT,13410,13410,,,
16,p016_text,27,LV510343FT,16750,16750,,,
16,p016_text,28,LV510334FT,13410,13410,,,
16,p016_text,28,LV510344FT,16750,16750,,,
16,p016_text,29,LV510335FT,13410,13410,,,
16,p016_text,29,LV510345FT,16750,16750,,,
16,p016_text,30,LV510336FT,13410,13410,,,
16,p016_text,30,LV510346FT,16750,16750,,,
16,p016_text,31,LV510337FT,13410,13410,,,
16,p016_text,31,LV510347FT,16750,16750,,,
16,p016_text,32,LV516332FT,14900,14900,,,
16,p016_text,32,LV516342FT,18490,18490,,,
16,p016_text,33,LV516333FT,19730,19730,,,
16,p016_text,33,LV516343FT,23500,23500,,,
16,p016_text,34,LV525332FT,28420,28420,,,
16,p016_text,34,LV525342FT,35190,35190,,,
16,p016_text,37,LV525333FT,31500,31500,,,
16,p016_text,37,LV525343FT,39000,39000,,,
